Development Stage,Current,Disease,Intervention,RFP Year,Progress,Project,Partner,Awarded Amount
Discovery,Vaccine Antigen Identification,Malaria,Vaccine,2019,Successfully Completed,"Co-delivery of Pfs230C1 and CSP with CoPoP, a versatile, potent liposomal adjuvant system for multistage malaria vaccine","Ehime University,University at Buffalo, The State University of New York,PATH Malaria Vaccine Initiative","$972,951"
Discovery,Drug Lead Identification,Malaria,Drug,2019,Successfully Completed,Proteasome inhibitors as new potent antimalarials,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV),The University of Melbourne’s Bio21 Molecular Science and Biotechnology Institute","$526,140"
Discovery,Drug Lead Identification,Malaria,Drug,2019,Successfully Completed,Development of nucleoside sulfamates as novel antimalarials,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV),The University of Melbourne’s Bio21 Molecular Science and Biotechnology Institute","$1,016,129"
Discovery,Drug Lead Identification,Tuberculosis,Drug,2019,Successfully Completed,Hit-to-Lead Development of Phenotypic and Mechanism-based Screen Hits,"Takeda Pharmaceutical Company Limited,The Global Alliance for TB Drug Development","$1,112,058"
Discovery,Drug Hit Identification,Malaria,Drug,2019,Successfully Completed,Screening project between Takeda and MMV,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$41,962"
Discovery,Drug Hit Identification,NTD(Chagas disease / Leishmaniasis),Drug,2019,Successfully Completed,Screening project between Mitsubishi Tanabe and DNDi,"Mitsubishi Tanabe Pharma Corporation,Drugs for Neglected Diseases initiative","$150,000"
Discovery,Drug Lead Identification,Tuberculosis,Drug,2019,Successfully Completed,Hit-to-Lead Development of Phenotypic Screening Hits,"Chugai Pharmaceutical Co., Ltd.,The Global Alliance for TB Drug Development","$953,159"
Discovery,Vaccine Vaccine Concept Development,Malaria,Vaccine,2019,Successfully Completed,Made-in-Japan next-generation vaccine platform effective for multistage Plasmodium for infants ,"Hokkaido University,Jichi Medical University,Toyama University,University of Cambridge,Kanazawa University","$526,900"
Discovery,Vaccine Technology Platform Identification,Malaria,Vaccine,2019,Successfully Completed,Development of a novel Pvs25 nucleoside-modified mRNA vaccine that induces potent and long-lasting transmission blocking immunity,"Tokyo Medical and Dental University,University of Pennsylvania,Mahidol University","$960,771"
Discovery,Diagnostic Concept Development,NTD(Mycetoma),Diagnostic,2019,Successfully Completed,MycEXomics aims to develop a field-friendly point-of-care diagnostic test for mycetoma,"RIKEN,Hospital General de Mexico,Mycetoma Research Centre (MRC), University of Khartoum,Erasmus University Medical Center","$285,937"
Preclinical,Drug Preclinical development,NTD(Lymphatic filariasis / Onchocerciasis),Drug,2019,Successfully Completed,"Development of AWZ1066S, A Small Molecule anti-Wolbachia Candidate Macrofilaricide Drug","Eisai Co., Ltd.,University of Liverpool,Liverpool School of Tropical Medicine","$4,335,812"
Preclinical,Vaccine Preclinical Development,Malaria,Vaccine,2019,Successfully Completed,Preclinical development of malaria transmission-blocking vaccine candidate Pfs230D1+ formulated with SA-1 adjuvant,"Sumitomo Dainippon Pharma Co., Ltd.,Ehime University,PATH","$5,007,283"
Clinical,Vaccine Phase1 Clinical Development,Malaria,Vaccine,2019,Successfully Completed,Preparatory phase II for the malaria vaccine candidate NPC-SE36/CpG,"Research Institute for Microbial Diseases (RIMD), Osaka University,Nobelpharma Co., Ltd.,Groupe de Recherche Action en Santé (GRAS),European Vaccine Initiative e.V. (EVI e.V.)","$1,870,777"
Preclinical,Drug Lead Optimization,NTD(Chagas disease),Drug,2019,Successfully Completed,Lead optimization of a candidate series active against Chagas Disease,"Daiichi Sankyo, Inc.,Drugs for Neglected Diseases initiative","$4,318,565"
Clinical,Diagnostic Product Development,NTD(Leishmaniasis),Diagnostic,2019,Successfully Completed,"Production, validation and use of Leishmanin skin test (LST) for detection of Leishmania exposure and immunity","Institute of Tropical Medicine (NEKKEN) Nagasaki University ,McGill University ,Gennova Biopharmaceuticals Ltd.,U.S. Food and Drug Administration,The Ohio State University","$2,257,699"
Preclinical,Drug Preclinical development,Malaria,Drug,2019,ACTIVE,"Preclinical and Clinical Development of SJ733, a Novel PfATP4 Inhibitor for the Treatment of Severe Malaria","Eisai Co., Ltd.,University of Kentucky","$5,590,091"
Preclinical,Drug Preclinical development,Malaria,Drug,2019,ACTIVE,Preclinical studies of potent Gwt1p inhibitor toward IND for antimalarial agent with novel mechanism of action,"Eisai Co., Ltd.,Medicines for Malaria Venture (MMV)","$6,828,394"
Clinical,Diagnostic Product Development,NTD(Schistosomiasis),Diagnostic,2020,ACTIVE,A schistosomiasis rapid diagnostic test to support control programmes in monitoring treatment impact and reassessment mapping,"Institute of Tropical Medicine (NEKKEN) Nagasaki University ,Leiden University Medical Center,Merck KGaA,Foundation for Innovative New Diagnostics (FIND)","$3,733,973"
Clinical,Drug Clinical Phase1,NTD(Leishmaniasis),Drug,2020,ACTIVE,Clinical development of CpG-D35 for combined treatment of cutaneous leishmaniasis,"University of Tokyo,Ajinomoto Bio-Pharma Services, GeneDesign (GeneDesign),Drugs for Neglected Diseases initiative","$6,923,997"
Preclinical,Drug Lead Optimization,Malaria,Drug,2020,Successfully Completed,Structured-based approach to develop a novel mechanism-of-action antimalarial with multistage activity,"Eisai Co., Ltd.,The Scripps Research Institute,International Centre for Genetic Engineering and Biotechnology ,Broad Institute","$4,127,236"
Discovery,Diagnostic Technical Feasibility,Malaria,Diagnostic,2020,ACTIVE,Towards the rapid diagnosis of malaria hypnozoite infection: feasibility studies,"National Institute of Technology, Kumamoto College,Biomedical Primate Research Centre,Institute of Tropical Medicine (NEKKEN) Nagasaki University ","$999,809"
Discovery,Drug Target Identification,NTD(Chagas disease),Drug,2020,Successfully Completed,Target validation and AI-guided identification of Trypanosoma cruzi phosphodiesterase inhibitors for the treatment of Chagas disease,"Eisai Co., Ltd.,Universidad Nacional de La Plata (UNLP) ","$710,077"
Discovery,Drug Hit Identification,Malaria,Drug,2020,ACTIVE,Pioneering antisense oligonucleotides as long-acting malaria prophylactics,"Eisai Co., Ltd.,University of California, San Diego (UCSD)","$922,972"
Discovery,Diagnostic Concept Development,NTD(Buruli ulcer),Diagnostic,2020,Successfully Completed,Development of ‘all-in-one’ diagnostic kit for Buruli ulcer using lateral flow DNA-chromatography,"Keio University School of Medicine,TBA Co., Ltd.,Fasmac Co., Ltd.,Raoul Follereau Institute Côte d’Ivoire,Institut Pasteur de Côte d'Ivoire,Hope Commission International,Nagasaki University,Teikyo University","$895,584"
Discovery,Drug Lead Identification,NTD(Soil-transmitted helminthiasis),Drug,2020,Successfully Completed,Cry5B optimization for Trichuris - whipworm,"Kao Corporation,University of Massachusetts Medical School,PATH","$923,020"
Discovery,Drug Lead Identification,Malaria,Drug,2020,Successfully Completed,Prolyl tRNA Synthetase Inhibitors for New Antimalarials,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$547,268"
Discovery,Drug Hit Identification,Malaria,Drug,2020,Successfully Completed,Screening Program,"Takeda Pharmaceutical Company Limited,Eisai Co., Ltd.,Daiichi Sankyo, Inc.,Medicines for Malaria Venture (MMV)","$210,936"
Discovery,Drug Hit Identification,NTD(Chagas disease / Leishmaniasis),Drug,2020,Successfully Completed,Screening Program,"Daiichi Sankyo RD Novare Co., Ltd.,Drugs for Neglected Diseases initiative","$80,000"
Discovery,Drug Hit Identification,Malaria,Drug,2020,Successfully Completed,Screening Program,"Daiichi Sankyo, Inc.,Medicines for Malaria Venture (MMV)","$122,013"
Clinical,Drug Registration,NTD(Schistosomiasis),Drug,2020,ACTIVE,Adoption of Levo-Praziquantel 150mg for schistosomiasis by endemic countries,"Astellas Pharma Inc.,Unlimit Health,Merck KGaA,Swiss Tropical and Public Health Institute,Klinikum rechts der Isar der Technischen Universität München, Department of Neurology (MRI),Kenya Medical Research Institute (KEMRI-CGHR),Université Félix Houphouët Boigny (UFHB),Lygature","$2,622,542"
Preclinical,Drug Lead Optimization,Malaria,Drug,2020,TERMINATED,Optimisation of multistage inhibitors of Plasmodium falciparum lysyl t-RNA synthetase for the treatment of malaria,"Eisai Co., Ltd.,Medicines for Malaria Venture (MMV),University of Dundee","$3,538,738"
Preclinical,Drug Preclinical development,NTD(Leishmaniasis),Drug,2020,ACTIVE,"Preclinical development of DNDI-6174, a drug candidate for leishmaniasis","Eisai Co., Ltd.,Drugs for Neglected Diseases initiative","$6,122,938"
Clinical,Diagnostic Product Validation,Tuberculosis,Diagnostic,2020,Successfully Completed,Product Development of LFA platform for improving sensitivity of Point-of-Care assays for infectious disease with main focus on Tuberculosis,"Asahi Kasei Corporation,Biopromic AB","$2,266,257"
Clinical,Diagnostic Product Development,NTD(Buruli ulcer),Diagnostic,2020,TERMINATED,A Buruli ulcer mycolactone (BU-MYCOLAC) rapid diagnostic test to enhance early diagnosis and treatment,"Nagasaki University,Swiss Tropical and Public Health Institute,Drugs and Diagnostics for Tropical Diseases,Foundation for Innovative New Diagnostics (FIND)","$1,836,107"
Clinical,Diagnostic Product Validation,NTD(Chagas disease),Diagnostic,2020,Successfully Completed,Field validation of Trypanosoma cruzi-LAMP: a molecular point-of-care test for the control of congenital Chagas disease,"Eiken Chemical Co., Ltd.,Nagasaki University,Fundacion Mundo Sano,Ciencia y Estudios Aplicados Para el Desarrollo en Salud y Medio Ambiente  (CEADES) ,Centro para el Desarrollo de Investigación Científica (CEDIC) ,Instituto de Investigaciones en Ingeniería Genética y Biología Molecular (CONICET-INGEBI),AI Biosciences Inc. ,Barcelona Institute for Global Health (ISGLOBAL)  ","$1,471,273"
Clinical,Vaccine Phase2 Clinical Development,Malaria,Vaccine,2020,ACTIVE,First-In-Human Trial of the Pan-Malaria Transmission-Blocking Vaccine AnAPN1,"Ajinomoto Bio-Pharma Services, GeneDesign (GeneDesign),University of Tübingen (UKT) ,Centre de Recherches Médicales de Lambaréné (CERMEL) ,CellFree Sciences Co. Ltd.,The University of Florida","$6,486,223"
Preclinical,Drug Lead Optimization,NTD(Leishmaniasis),Drug,2020,Successfully Completed,Lead optimization and preclinical candidate selection from the NTD Drug Discovery Booster series S07 for visceral leishmaniasis,"Takeda Pharmaceutical Company Limited,Drugs for Neglected Diseases initiative","$2,257,442"
Discovery,Vaccine Antigen Identification,Malaria,Vaccine,2020,Successfully Completed,"Evaluation of a malaria vaccine candidate comprised of full-length recombinant CSP formulated with SA-1 adjuvant, using RTS,S/AS01 as a benchmark","Sumitomo Dainippon Pharma Co., Ltd.,Ehime University,PATH","$999,733"
Discovery,Drug Target Identification,Tuberculosis,Drug,2020,ACTIVE,Identification of novel dual-acting bactericidal drug targets against Mycobacterium tuberculosis,"Research Institute of Tuberculosis ,Nagoya University,Hokkaido University,Harvard University,University of Minnesota ,Fujita Health University ","$974,619"
Discovery,Drug Lead Identification,Malaria,Drug,2020,Successfully Completed,Hit-to-lead development of new antimalarial compounds from DDI library,"University of Tokyo,Medicines for Malaria Venture (MMV)","$1,167,442"
Discovery,Drug Lead Identification,NTD(Chagas disease / Leishmaniasis),Drug,2020,ACTIVE,Hit-To-Lead development for Neglected Tropical Diseases,"Mitsubishi Tanabe Pharma Corporation,Drugs for Neglected Diseases initiative","$1,170,663"
Discovery,Drug Lead Identification,Tuberculosis,Drug,2020,Successfully Completed,Hit-to-Lead Development of Hits Identified in the Phenotypic Screening against Mycobacterium tuberculosis (Mtb),"Astellas Pharma Inc.,The Global Alliance for TB Drug Development","$801,363"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2020,Successfully Completed,Screening Program,"Daiichi Sankyo RD Novare Co., Ltd.,The Global Alliance for TB Drug Development","$118,300"
Discovery,Drug Hit Identification,NTD(Leishmaniasis),Drug,2020,ACTIVE,Screening Program,"University of Tokyo,Drugs for Neglected Diseases initiative","$168,759"
Clinical,Diagnostic Product Development,Tuberculosis,Diagnostic,2021,Successfully Completed,Viability & Value of the Lung Flute ECO for Sputum Sample Collection and Tuberculosis Testing in Vulnerable Groups (3V Trial) ,"Acoustic Innovations (AI),Institute of Tropical Medicine (ITM),Center for Health Promotion and Research (CHPR),Research Institute of Tuberculosis ","$833,738"
Preclinical,Vaccine Preclinical Development,Malaria,Vaccine,2021,ACTIVE,Clinical development of placental malaria vaccine candidates,"Ehime University,University of Copenhagen (UCPH) ,Institut national de la santé et de la recherche médicale,Groupe de Recherche Action en Santé (GRAS),Noguchi Memorial Institute for Medical Research,Institut de recherche pour le développement,European Vaccine Initiative e.V. (EVI e.V.)","$4,692,924"
Discovery,Drug Target Identification,Malaria,Drug,2021,Successfully Completed,Identification and Validation of potential Plasmodium E3 Ligases for PROTAC Platform,"FIMECS, Inc.,National Center for Genetic Engineering and Biotechnology (BIOTEC) ","$838,587"
Discovery,Drug Target Identification,NTD(Chagas disease),Drug,2021,ACTIVE,Autophagy as a novel drug-development target for Chagas disease,"National Institute of Advanced Industrial Science and Technology,Drugs for Neglected Diseases initiative","$989,200"
Discovery,Drug Hit Identification,NTD(Chagas disease),Drug,2021,Successfully Completed,Screening project between Takeda Pharmaceutical Company Ltd. and DNDi,"Takeda Pharmaceutical Company Limited,Drugs for Neglected Diseases initiative","$89,946"
Discovery,Drug Hit Identification,NTD(Chagas disease),Drug,2021,Successfully Completed,Screening project between Daiichi Sankyo Company Limited and DNDi,"Daiichi Sankyo, Inc.,Drugs for Neglected Diseases initiative","$109,763"
Discovery,Vaccine Antigen Identification,Malaria,Vaccine,2021,ACTIVE,Development of a Plasmodium vivax multistage vaccine effective both for protection and transmission blocking,"Hokkaido University,Jichi Medical University,Kyoto University,Toyama University,University of Cambridge,Instituto Leônidas & Maria Deane (ILMD) and The Fundação de Medicina Tropical Doutor Heitor Vieira Dourado (FMT-HVD),Kanazawa University","$698,170"
Preclinical,Drug Lead Optimization,Malaria,Drug,2021,ACTIVE,Preclinical development of a monoclonal antibody to prevent P. falciparum malaria,"Eisai Co., Ltd.,Ehime University,GlaxoSmithKline plc.,PATH","$5,386,616"
Discovery,Drug Lead Identification,Malaria,Drug,2021,ACTIVE,Hit-to-Lead development of novel Astellas compounds with antimalarial activity,"Astellas Pharma Inc.,Medicines for Malaria Venture (MMV),TCG Lifesciences Private Limited. (TCGLS)","$1,317,435"
Clinical,Drug Clinical Phase2,NTD(Lymphatic filariasis / Onchocerciasis),Drug,2022,TERMINATED,"Phase II Clinical Development of AWZ1066S, a Small Molecule anti-Wolbachia Candidate Macrofilaricide Drug","Eisai Co., Ltd.,University of Liverpool,University of Buea (UoB) ,University Hospital of Bonn (UKB),Liverpool School of Tropical Medicine","$7,960,044"
Discovery,Drug Lead Identification,Malaria,Drug,2022,ACTIVE,Irresistible series as anti-malarial agent,"Takeda Pharmaceutical Company Limited,Medicines for Malaria Venture (MMV)","$1,307,233"
Discovery,Drug Lead Identification,Malaria,Drug,2022,ACTIVE,A Hit-to-Lead study of screening hits for novel antimalarial compounds,"Nagasaki University,Medicines for Malaria Venture (MMV),SHIONOGI & CO., LTD.","$1,323,184"
Discovery,Drug Hit Identification,Tuberculosis,Drug,2022,ACTIVE,Screening project between Daiichi Sankyo RD Novare and TB Alliance,"Daiichi Sankyo RD Novare Co., Ltd.,The Global Alliance for TB Drug Development","$152,970"
Discovery,Vaccine Antigen Identification,Malaria,Vaccine,2022,ACTIVE,Development of a potent Pvs230 mRNA vaccine to block transmission of P. vivax,"Ehime University,Mahidol University","$699,652"
Preclinical,Drug Preclinical development,NTD(Onchocerciasis),Drug,2022,Successfully Completed,Preclinical development of DNDI-6166 (or CC1076166) a selective macrofilaricide for the treatment of river blindness,"University Hospital of Bonn (UKB), BoZo Research - ITR,Mahidol Oxford Tropical Medicine Research Unit (MORU),Drugs for Neglected Diseases initiative","$300,000"
Clinical,Drug Registration,NTD(Mycetoma),Drug,2022,ACTIVE,"Fosravuconazole treatment in eumycetoma: corroborating study outcomes, preparing for access","Eisai Co., Ltd.,Drugs for Neglected Diseases initiative","$2,964,666"
Preclinical,Vaccine Preclinical Development,Malaria,Vaccine,2023,ACTIVE,Towards the clinical development of the new asexual blood-stage malaria vaccine candidate PfRipr5 (PfRipr5-PD),"Sumitomo Pharma Co., Ltd.,iBET,European Vaccine Initiative e.V. (EVI e.V.),Ehime University","$5,729,514"
Preclinical,Drug Lead Optimization,Malaria,Drug,2023,ACTIVE,Development of Enzyme Inhibitors as a SERCAP for relapsing malaria,"Mitsubishi Tanabe Pharma Corporation,University of Georgia,Medicines for Malaria Venture (MMV)","$3,342,387"
Preclinical,Diagnostic Product Design,NTD(Schistosomiasis),Diagnostic,2023,ACTIVE,A Highly Sensitive and Specific Serological Rapid Diagnostic Test to Support WHO’s Schistosomiasis Monitoring and Evaluation (M&E) Programs.,"Medical & Biological Laboratories Co., Ltd. ,Drugs and Diagnostics for Tropical Diseases","$557,126"
Preclinical,Diagnostic Product Design,NTD(Onchocerciasis),Diagnostic,2023,ACTIVE,Supporting WHO Onchocerciasis Elimination Programs: Progressing a Highly Sensitive and Ultra-specific Rapid Diagnostic Test to Commercialization Readiness,"Medical & Biological Laboratories Co., Ltd. ,Big Eye Diagnostics, Inc. (BEDx),Drugs and Diagnostics for Tropical Diseases","$668,705"
Clinical,Vaccine Phase1 Clinical Development,NTD(Leprosy),Vaccine,2023,ACTIVE,Stronger Together: Engagement of people affected by leprosy in the LepVax Clinical Trial,"Sasakawa Health Foundation (SHF),Oswaldo Cruz Institute (IOC/Fiocruz),American Leprosy Missions, Inc. (ALM)","$1,503,796"
Clinical,Drug Clinical Phase3,Malaria,Drug,2023,ACTIVE,Evaluation and preparation for deployment of an Artemether-Lumefantrine-Amodiaquine Fixed-Dose Combination to counter antimalarial drug resistance in Plasmodium falciparum malaria,"Marubeni Corporation,Mahidol Oxford Tropical Medicine Research Unit (MORU),Medicines for Malaria Venture (MMV),Shanghai Fosun Pharmaceutical Industrial Development Co., Ltd. (FOSUN PHARMA)","$5,043,253"
Clinical,Drug Clinical Phase2,Malaria,Drug,2023,ACTIVE,Combination of SJ733 with Tafenoquine as a Possible Radical Cure for P. vivax Malaria,"Eisai Co., Ltd.,University of Kentucky","$8,071,824"
Discovery,Drug Hit Identification,NTD(Chagas disease),Drug,2023,ACTIVE,HTS for discovery of new drugs for Chagas disease    ,"Nagasaki University,Drugs for Neglected Diseases initiative","$160,895"
Preclinical,Drug Lead Optimization,Malaria,Drug,2023,ACTIVE,Preclinical development of a novel mechanism-of-action antimalarial,"Eisai Co., Ltd.,International Centre for Genetic Engineering and Biotechnology ,The Scripps Research Institute","$1,120,000"
Preclinical,Drug Lead Optimization,NTD(Chagas disease),Drug,2023,ACTIVE,Lead Optimization of a novel chemical series for Chagas disease,"Mitsubishi Tanabe Pharma Corporation,Drugs for Neglected Diseases initiative","$2,945,325"
Preclinical,Drug Preclinical development,NTD(Lymphatic filariasis / Onchocerciasis),Drug,2023,ACTIVE,Pre-clinical development of the macrofilaricide corallopyronin A (CorA) to treat onchocerciasis and lymphatic filariasis.,"Eisai Co., Ltd.,Helmholtz Centre for Infection Research (HZI),University Hospital of Bonn (UKB)","$9,040,174"
Preclinical,Drug Lead Optimization,Malaria,Drug,2023,ACTIVE,Lead optimization and candidate selection of a novel long-acting injectable which targets malarial electron transport chain for malaria chemoprevention and prophylaxis.,"Nagasaki University,National Institute of Infectious Diseases,Medicines for Malaria Venture (MMV),SHIONOGI & CO., LTD.","$3,320,743"
Discovery,Drug Target Identification,Malaria,Drug,2023,ACTIVE,Fragment and structure-based hit generation platform for new malaria targets,"University of Tokyo,University of Oxford,University of Dundee,Medicines for Malaria Venture (MMV)","$699,623"
